,drugbank_id,name,min dosage strength value,min dosage strength unit,max dosage strength value,max dosage strength unit,route,form,group,kinase inhibitor category,cas,smiles,ALOGPS solubility value,ALOGPS solubility unit
134,DB00471,Montelukast,4.0,mg/1,10.0,mg,Oral,"Tablet, chewable",['approved'],False,158966-92-8,OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1,8.2e-06,g/l
135,DB00472,Fluoxetine,10.0,mg,90.0,mg/1,Oral,Capsule,"['approved', 'vet_approved']",False,54910-89-3,CNCCC(OC1=CC=C(C=C1)C(F)(F)F)C1=CC=CC=C1,0.0017,g/l
137,DB00476,Duloxetine,20.0,mg,60.0,mg,Oral,"Capsule, delayed release",['approved'],False,116539-59-4,CNCC[C@H](OC1=CC=CC2=CC=CC=C12)C1=CC=CS1,0.00296,g/l
139,DB00478,Rimantadine,100.0,mg/1,100.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,13392-28-4,CC(N)C12CC3CC(CC(C3)C1)C2,0.00915,g/l
140,DB00480,Lenalidomide,2.5,mg/1,25.0,mg,Oral,Capsule,['approved'],False,191732-72-6,NC1=CC=CC2=C1CN(C1CCC(=O)NC1=O)C2=O,2.33,g/l
141,DB00481,Raloxifene,60.0,mg,60.0,mg,Oral,Tablet,"['approved', 'investigational']",False,84449-90-1,OC1=CC=C(C=C1)C1=C(C(=O)C2=CC=C(OCCN3CCCCC3)C=C2)C2=C(S1)C=C(O)C=C2,0.000512,g/l
142,DB00482,Celecoxib,50.0,mg/1,400.0,mg/1,Oral,Capsule,"['approved', 'investigational']",False,169590-42-5,CC1=CC=C(C=C1)C1=CC(=NN1C1=CC=C(C=C1)S(N)(=O)=O)C(F)(F)F,0.00503,g/l
143,DB00485,Dicloxacillin,250.0,mg/1,500.0,mg/1,Oral,Capsule,"['approved', 'investigational', 'vet_approved']",False,3116-76-5,[H][C@]12SC(C)(C)[C@@H](N1C(=O)[C@H]2NC(=O)C1=C(C)ON=C1C1=C(Cl)C=CC=C1Cl)C(O)=O,0.0296,g/l
146,DB00490,Buspirone,5.0,mg/1,30.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,36505-84-7,O=C1CC2(CCCC2)CC(=O)N1CCCCN1CCN(CC1)C1=NC=CC=N1,0.588,g/l
147,DB00491,Miglitol,25.0,mg/1,100.0,mg/1,Oral,"Tablet, film coated",['approved'],False,72432-03-2,OCCN1C[C@H](O)[C@@H](O)[C@H](O)[C@H]1CO,610.0,g/l
148,DB00492,Fosinopril,10.0,mg,40.0,mg/1,Oral,Tablet,['approved'],False,98048-97-6,CCC(=O)O[C@@H](O[P@](=O)(CCCCC1=CC=CC=C1)CC(=O)N1C[C@@H](C[C@H]1C(O)=O)C1CCCCC1)C(C)C,0.00101,g/l
149,DB00494,Entacapone,200.0,mg,200.0,mg,Oral,Tablet,"['approved', 'investigational']",False,130929-57-6,CCN(CC)C(=O)C(=C\C1=CC(=C(O)C(O)=C1)[N+]([O-])=O)\C#N,0.0797,g/l
150,DB00496,Darifenacin,7.5,mg/1,15.0,mg,Oral,"Tablet, extended release","['approved', 'investigational']",False,133099-04-4,NC(=O)C([C@@H]1CCN(CCC2=CC3=C(OCC3)C=C2)C1)(C1=CC=CC=C1)C1=CC=CC=C1,0.000298,g/l
151,DB00459,Acitretin,10.0,mg/1,25.0,mg/1,Oral,Capsule,['approved'],False,55079-83-9,COC1=C(C)C(C)=C(\C=C\C(\C)=C\C=C\C(\C)=C\C(O)=O)C(C)=C1,0.000478,g/l
152,DB00499,Flutamide,125.0,mg/1,250.0,mg,Oral,Capsule,"['approved', 'investigational']",False,13311-84-7,CC(C)C(=O)NC1=CC(=C(C=C1)[N+]([O-])=O)C(F)(F)F,0.00566,g/l
153,DB00500,Tolmetin,200.0,mg/1,600.0,mg,Oral,Tablet,['approved'],False,26171-23-3,CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1,0.131,g/l
154,DB00468,Quinine,200.0,mg,324.0,mg/1,Oral,Capsule,['approved'],False,130-95-0,[H][C@]1(C[C@@H]2CC[N@]1C[C@@H]2C=C)[C@H](O)C1=CC=NC2=CC=C(OC)C=C12,0.334,g/l
155,DB00503,Ritonavir,80.0,mg,100.0,mg/1,Oral,Solution,"['approved', 'investigational']",False,155213-67-5,CC(C)[C@H](NC(=O)N(C)CC1=CSC(=N1)C(C)C)C(=O)N[C@H](C[C@H](O)[C@H](CC1=CC=CC=C1)NC(=O)OCC1=CN=CS1)CC1=CC=CC=C1,0.00126,g/l
156,DB00509,Dextrothyroxine,2.0,mg,4.0,mg,Oral,Tablet,"['approved', 'investigational']",False,51-49-0,N[C@H](CC1=CC(I)=C(OC2=CC(I)=C(O)C(I)=C2)C(I)=C1)C(O)=O,0.00898,g/l
157,DB00471,Montelukast,4.0,mg/1,10.0,mg,Oral,"Tablet, chewable",['approved'],False,158966-92-8,OC(=O)CC1(CC1)CS[C@H](CCC1=CC=CC=C1C(O)(C)C)C1=CC=CC(\C=C\C2=NC3=C(C=CC(Cl)=C3)C=C2)=C1,8.2e-06,g/l
158,DB00518,Albendazole,200.0,mg/1,200.0,mg/1,Oral,"Tablet, film coated","['approved', 'vet_approved']",False,54965-21-8,CCCSC1=CC2=C(C=C1)N=C(NC(=O)OC)N2,0.0228,g/l
159,DB00519,Trandolapril,0.5,mg,4.0,mg/1,Oral,Capsule,['approved'],False,87679-37-6,[H][C@@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC3=CC=CC=C3)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O,0.0207,g/l
160,DB00524,Metolazone,2.5,mg/1,10.0,mg/1,Oral,Tablet,['approved'],False,17560-51-9,CC1NC2=CC(Cl)=C(C=C2C(=O)N1C1=CC=CC=C1C)S(N)(=O)=O,0.0407,g/l
161,DB00530,Erlotinib,25.0,mg,150.0,mg,Oral,Tablet,"['approved', 'investigational']",True,183321-74-6,COCCOC1=C(OCCOC)C=C2C(NC3=CC=CC(=C3)C#C)=NC=NC2=C1,0.00891,g/l
162,DB00533,Rofecoxib,12.5,mg,25.0,mg,Oral,Suspension,"['approved', 'investigational', 'withdrawn']",False,162011-90-7,CS(=O)(=O)C1=CC=C(C=C1)C1=C(C(=O)OC1)C1=CC=CC=C1,0.0106,g/l
163,DB00536,Guanidine,125.0,mg/1,125.0,mg/1,Oral,Tablet,['approved'],False,113-00-8,NC(N)=N,11.5,g/l
164,DB00539,Toremifene,60.0,mg,60.0,mg,Oral,Tablet,"['approved', 'investigational']",False,89778-26-7,CN(C)CCOC1=CC=C(C=C1)C(=C(\CCCl)C1=CC=CC=C1)\C1=CC=CC=C1,0.000409,g/l
165,DB00540,Nortriptyline,10.0,mg,75.0,mg/1,Oral,Capsule,['approved'],False,72-69-5,CNCCC=C1C2=CC=CC=C2CCC2=CC=CC=C12,0.000874,g/l
166,DB00542,Benazepril,5.0,mg/1,40.0,mg/1,Oral,"Tablet, film coated","['approved', 'investigational']",False,86541-75-5,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@H]1CCC2=CC=CC=C2N(CC(O)=O)C1=O,0.0105,g/l
167,DB00543,Amoxapine,25.0,mg/1,150.0,mg/1,Oral,Tablet,['approved'],False,14028-44-5,ClC1=CC2=C(OC3=CC=CC=C3N=C2N2CCNCC2)C=C1,0.171,g/l
168,DB00549,Zafirlukast,10.0,mg/1,20.0,mg/1,Oral,"Tablet, film coated","['approved', 'investigational']",False,107753-78-6,COC1=C(CC2=CN(C)C3=C2C=C(NC(=O)OC2CCCC2)C=C3)C=CC(=C1)C(=O)NS(=O)(=O)C1=CC=CC=C1C,0.000962,g/l
170,DB00551,Acetohydroxamic Acid,250.0,mg/1,250.0,mg/1,Oral,Tablet,['approved'],False,546-88-3,CC(=O)NO,509.0,g/l
171,DB00554,Piroxicam,10.0,mg,20.0,mg/1,Oral,Capsule,"['approved', 'investigational']",False,36322-90-4,CN1C(C(=O)NC2=NC=CC=C2)=C(O)C2=C(C=CC=C2)S1(=O)=O,0.143,g/l
172,DB00555,Lamotrigine,2.0,mg,300.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,84057-84-1,NC1=NC(N)=C(N=N1)C1=C(Cl)C(Cl)=CC=C1,0.488,g/l
173,DB00557,Hydroxyzine,10.0,mg,100.0,mg/1,Oral,Capsule,['approved'],False,68-88-2,OCCOCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=C(Cl)C=C1,0.0914,g/l
175,DB00566,Succimer,100.0,mg/1,100.0,mg/1,Oral,Capsule,['approved'],False,304-55-2,OC(=O)[C@@H](S)[C@@H](S)C(O)=O,2.43,g/l
176,DB00573,Fenoprofen,200.0,mg/1,600.0,mg/1,Oral,Capsule,['approved'],False,29679-58-1,CC(C(O)=O)C1=CC(OC2=CC=CC=C2)=CC=C1,0.0811,g/l
177,DB00574,Fenfluramine,20.0,mg,20.0,mg,Oral,Tablet,"['approved', 'illicit', 'investigational', 'withdrawn']",False,458-24-2,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,0.0215,g/l
178,DB00500,Tolmetin,200.0,mg/1,600.0,mg,Oral,Tablet,['approved'],False,26171-23-3,CN1C(CC(O)=O)=CC=C1C(=O)C1=CC=C(C)C=C1,0.131,g/l
179,DB00577,Valaciclovir,1000.0,mg/1,1000.0,mg,Oral,"Tablet, film coated","['approved', 'investigational']",False,124832-26-4,CC(C)[C@H](N)C(=O)OCCOCN1C=NC2=C1NC(N)=NC2=O,3.55,g/l
180,DB00579,Mazindol,1.0,mg,2.0,mg,Oral,Tablet,"['approved', 'investigational']",False,22232-71-9,OC1(N2CCN=C2C2=CC=CC=C12)C1=CC=C(Cl)C=C1,0.139,g/l
182,DB00582,Voriconazole,3000.0,mg,200.0,mg,Oral,"Powder, for suspension","['approved', 'investigational']",False,137234-62-9,C[C@@H](C1=NC=NC=C1F)[C@](O)(CN1C=NC=N1)C1=C(F)C=C(F)C=C1,0.0978,g/l
184,DB00592,Piperazine,2000.0,mg,600.0,mg,Oral,"Powder, for solution","['approved', 'vet_approved']",False,110-85-0,C1CNCCN1,371.0,g/l
185,DB00594,Amiloride,5.0,mg/1,5.0,mg/1,Oral,Tablet,['approved'],False,2609-46-3,NC(N)=NC(=O)C1=C(N)N=C(N)C(Cl)=N1,1.22,g/l
186,DB00519,Trandolapril,0.5,mg,4.0,mg/1,Oral,Capsule,['approved'],False,87679-37-6,[H][C@@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC3=CC=CC=C3)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O,0.0207,g/l
187,DB00604,Cisapride,1.0,mg,20.0,mg,Oral,Suspension,"['approved', 'investigational', 'withdrawn']",False,81098-60-4,CO[C@H]1CN(CCCOC2=CC=C(F)C=C2)CC[C@H]1NC(=O)C1=CC(Cl)=C(N)C=C1OC,0.012,g/l
188,DB00605,Sulindac,150.0,mg,200.0,mg,Oral,Tablet,"['approved', 'investigational']",False,38194-50-2,CC1=C(CC(O)=O)C2=CC(F)=CC=C2\C1=C/C1=CC=C(C=C1)S(C)=O,0.0251,g/l
189,DB00608,Chloroquine,250.0,mg,500.0,mg/1,Oral,Tablet,"['approved', 'investigational', 'vet_approved']",False,54-05-7,CCN(CC)CCCC(C)NC1=C2C=CC(Cl)=CC2=NC=C1,0.0175,g/l
191,DB00612,Bisoprolol,5.0,mg,10.0,mg/1,Oral,Tablet,['approved'],False,66722-44-9,CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1,0.0707,g/l
192,DB00615,Rifabutin,150.0,mg/1,150.0,mg/1,Oral,Capsule,"['approved', 'investigational']",False,72559-06-9,CO[C@H]1\C=C\O[C@@]2(C)OC3=C(C2=O)C2=C(C(O)=C3C)C(=O)C(NC(=O)\C(C)=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(C)=O)[C@@H]1C)=C1NC3(CCN(CC3)CC(C)C)N=C21,0.017,g/l
193,DB00618,Demeclocycline,150.0,mg,300.0,mg/1,Oral,Tablet,['approved'],False,127-33-3,[H][C@]12C[C@@]3([H])[C@H](N(C)C)C(O)=C(C(N)=O)C(=O)[C@@]3(O)C(O)=C1C(=O)C1=C([C@H]2O)C(Cl)=CC=C1O,0.53,g/l
194,DB00619,Imatinib,50.0,mg,400.0,mg,Oral,Capsule,['approved'],True,152459-95-5,CN1CCN(CC2=CC=C(C=C2)C(=O)NC2=CC(NC3=NC=CC(=N3)C3=CN=CC=C3)=C(C)C=C2)CC1,0.0146,g/l
195,DB00621,Oxandrolone,2.5,mg/1,10.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,53-39-4,[H][C@@]12CC[C@](C)(O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])CC(=O)OC[C@]12C,0.014,g/l
196,DB00549,Zafirlukast,10.0,mg/1,20.0,mg/1,Oral,"Tablet, film coated","['approved', 'investigational']",False,107753-78-6,COC1=C(CC2=CN(C)C3=C2C=C(NC(=O)OC2CCCC2)C=C3)C=CC(=C1)C(=O)NS(=O)(=O)C1=CC=CC=C1C,0.000962,g/l
197,DB00628,Clorazepate,3.75,mg,15.0,mg,Oral,Capsule,"['approved', 'illicit']",False,23887-31-2,OC(=O)C1N=C(C2=CC=CC=C2)C2=C(NC1=O)C=CC(Cl)=C2,0.0248,g/l
198,DB00630,Alendronic acid,5.0,mg,70.0,mg/1,Oral,Tablet,['approved'],False,66376-36-1,NCCCC(O)(P(O)(O)=O)P(O)(O)=O,16.9,g/l
199,DB00635,Prednisone,1.0,mg/1,50.0,mg/1,Oral,Tablet,"['approved', 'vet_approved']",False,53-03-2,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)CC(=O)[C@@]1([H])[C@@]2([H])CCC2=CC(=O)C=C[C@]12C,0.111,g/l
200,DB00636,Clofibrate,1000.0,mg,500.0,mg,Oral,Capsule,"['approved', 'investigational']",False,637-07-0,CCOC(=O)C(C)(C)OC1=CC=C(Cl)C=C1,0.029,g/l
201,DB00637,Astemizole,2.0,mg,10.0,mg,Oral,Suspension,"['approved', 'withdrawn']",False,68844-77-9,COC1=CC=C(CCN2CCC(CC2)NC2=NC3=CC=CC=C3N2CC2=CC=C(F)C=C2)C=C1,0.0012,g/l
202,DB00641,Simvastatin,5.0,mg,80.0,mg,Oral,Tablet,['approved'],False,79902-63-9,[H][C@]12[C@H](C[C@@H](C)C=C1C=C[C@H](C)[C@@H]2CC[C@@H]1C[C@@H](O)CC(=O)O1)OC(=O)C(C)(C)CC,0.0122,g/l
203,DB00643,Mebendazole,100.0,mg/1,500.0,mg/1,Oral,"Tablet, chewable","['approved', 'vet_approved']",False,31431-39-7,COC(=O)NC1=NC2=C(N1)C=C(C=C2)C(=O)C1=CC=CC=C1,0.0387,g/l
205,DB00648,Mitotane,500.0,mg/1,500.0,mg/1,Oral,Tablet,['approved'],False,53-19-0,ClC(Cl)C(C1=CC=C(Cl)C=C1)C1=CC=CC=C1Cl,9.42e-06,g/l
206,DB00574,Fenfluramine,20.0,mg,20.0,mg,Oral,Tablet,"['approved', 'illicit', 'investigational', 'withdrawn']",False,458-24-2,CCNC(C)CC1=CC(=CC=C1)C(F)(F)F,0.0215,g/l
207,DB00651,Dyphylline,100.0,mg,500.0,mg,Oral,Elixir,['approved'],False,479-18-5,CN1C2=C(N(CC(O)CO)C=N2)C(=O)N(C)C1=O,14.3,g/l
208,DB00656,Trazodone,50.0,mg/1,300.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,19794-93-5,ClC1=CC=CC(=C1)N1CCN(CCCN2N=C3C=CC=CN3C2=O)CC1,0.29,g/l
209,DB00657,Mecamylamine,2.5,mg/1,2.5,mg/1,Oral,Tablet,"['approved', 'investigational']",False,60-40-2,CNC1(C)C2CCC(C2)C1(C)C,0.124,g/l
210,DB00658,Sevelamer,800.0,mg/1,2400.0,mg/1,Oral,"Powder, for suspension",['approved'],False,52757-95-6,NCC=C.ClCC1CO1,,
211,DB00659,Acamprosate,333.0,mg/1,333.0,mg/1,Oral,"Tablet, delayed release","['approved', 'investigational']",False,77337-76-9,CC(=O)NCCCS(O)(=O)=O,18.8,g/l
214,DB00670,Pirenzepine,50.0,mg,50.0,mg,Oral,Tablet,['approved'],False,28797-61-7,CN1CCN(CC(=O)N2C3=CC=CC=C3C(=O)NC3=C2N=CC=C3)CC1,0.682,g/l
215,DB00592,Piperazine,2000.0,mg,600.0,mg,Oral,"Powder, for solution","['approved', 'vet_approved']",False,110-85-0,C1CNCCN1,371.0,g/l
217,DB00673,Aprepitant,40.0,mg/1,165.0,mg,Oral,Capsule,"['approved', 'investigational']",False,170729-80-3,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1C1=CC=C(F)C=C1)C1=CC(=CC(=C1)C(F)(F)F)C(F)(F)F,0.0194,g/l
218,DB00674,Galantamine,4.0,mg,24.0,mg/1,Oral,Tablet,['approved'],False,357-70-0,[H][C@]12C[C@@H](O)C=C[C@]11CCN(C)CC3=C1C(O2)=C(OC)C=C3,1.7,g/l
219,DB00675,Tamoxifen,10.0,mg,20.0,mg/1,Oral,Tablet,['approved'],False,10540-29-1,CC\C(=C(/C1=CC=CC=C1)C1=CC=C(OCCN(C)C)C=C1)C1=CC=CC=C1,0.00102,g/l
220,DB00678,Losartan,25.0,mg,100.0,mg,Oral,Tablet,['approved'],False,114798-26-4,CCCCC1=NC(Cl)=C(CO)N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NNN=N1,0.0047,g/l
221,DB00679,Thioridazine,2.0,mg,200.0,mg,Oral,Suspension,"['approved', 'withdrawn']",False,50-52-2,CSC1=CC2=C(SC3=CC=CC=C3N2CCC2CCCCN2C)C=C1,0.000855,g/l
222,DB00682,Warfarin,1.0,mg,10.0,mg/1,Oral,Tablet,['approved'],False,81-81-2,CC(=O)CC(C1=CC=CC=C1)C1=C(O)C2=C(OC1=O)C=CC=C2,0.0472,g/l
223,DB00686,Pentosan Polysulfate,100.0,mg/1,100.0,mg/1,Oral,"Capsule, gelatin coated",['approved'],False,37300-21-3,O[C@@H]1CO[C@@H](O[C@@H]2CO[C@@H](O)[C@H](OS(O)(=O)=O)[C@H]2OS(O)(=O)=O)[C@H](OS(O)(=O)=O)[C@H]1OS(O)(=O)=O,3.49,g/l
224,DB00687,Fludrocortisone,0.1,mg,0.1,mg,Oral,Tablet,"['approved', 'investigational']",False,127-31-1,[H][C@@]12CC[C@](O)(C(=O)CO)[C@@]1(C)C[C@H](O)[C@@]1(F)[C@@]2([H])CCC2=CC(=O)CC[C@]12C,0.224,g/l
225,DB00690,Flurazepam,15.0,mg,30.0,mg,Oral,Capsule,"['approved', 'illicit', 'investigational']",False,17617-23-1,CCN(CC)CCN1C2=C(C=C(Cl)C=C2)C(=NCC1=O)C1=CC=CC=C1F,0.01,g/l
226,DB00691,Moexipril,7.5,mg/1,15.0,mg/1,Oral,Tablet,['approved'],False,103775-10-6,CCOC(=O)[C@H](CCC1=CC=CC=C1)N[C@@H](C)C(=O)N1CC2=CC(OC)=C(OC)C=C2C[C@H]1C(O)=O,0.00585,g/l
227,DB00697,Tizanidine,2.0,mg/1,6.0,mg/1,Oral,Capsule,"['approved', 'investigational']",False,51322-75-9,ClC1=C(NC2=NCCN2)C2=NSN=C2C=C1,0.133,g/l
228,DB00698,Nitrofurantoin,5.0,mg,100.0,mg,Oral,Suspension,"['approved', 'vet_approved']",False,67-20-9,[O-][N+](=O)C1=CC=C(O1)\C=N\N1CC(=O)NC1=O,0.415,g/l
230,DB00703,Methazolamide,25.0,mg,50.0,mg,Oral,Tablet,['approved'],False,554-57-4,CN1N=C(SC1=NC(C)=O)S(N)(=O)=O,1.74,g/l
231,DB00704,Naltrexone,50.0,mg,50.0,mg,Oral,Tablet,"['approved', 'investigational', 'vet_approved']",False,16590-41-3,[H][C@@]12OC3=C(O)C=CC4=C3[C@@]11CCN(CC3CC3)[C@]([H])(C4)[C@]1(O)CCC2=O,3.07,g/l
232,DB00705,Delavirdine,100.0,mg/1,200.0,mg/1,Oral,Tablet,['approved'],False,136817-59-9,CC(C)NC1=C(N=CC=C1)N1CCN(CC1)C(=O)C1=CC2=C(N1)C=CC(NS(C)(=O)=O)=C2,0.086,g/l
233,DB00706,Tamsulosin,0.4,mg,0.4,mg,Oral,"Tablet, extended release","['approved', 'investigational']",False,106133-20-4,CCOC1=CC=CC=C1OCCN[C@H](C)CC1=CC(=C(OC)C=C1)S(N)(=O)=O,0.00655,g/l
234,DB00709,Lamivudine,5.0,mg,300.0,mg,Oral,Solution,"['approved', 'investigational']",False,134678-17-4,NC1=NC(=O)N(C=C1)[C@@H]1CS[C@H](CO)O1,2.76,g/l
235,DB00711,Diethylcarbamazine,50.0,mg,50.0,mg,Oral,Tablet,"['approved', 'investigational', 'vet_approved']",False,90-89-1,CCN(CC)C(=O)N1CCN(C)CC1,236.0,g/l
236,DB00715,Paroxetine,7.5,mg/1,40.0,mg/1,Oral,Capsule,"['approved', 'investigational']",False,61869-08-7,FC1=CC=C(C=C1)[C@@H]1CCNC[C@H]1COC1=CC2=C(OCO2)C=C1,0.00853,g/l
238,DB00718,Adefovir Dipivoxil,10.0,mg/1,10.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,142340-99-6,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N)N=CN=C12)OCOC(=O)C(C)(C)C,0.633,g/l
239,DB00719,Azatadine,1.0,mg,1.0,mg,Oral,Tablet,['approved'],False,3964-81-6,CN1CCC(CC1)=C1C2=CC=CC=C2CCC2=C1N=CC=C2,0.113,g/l
241,DB00730,Thiabendazole,500.0,mg,500.0,mg,Oral,Tablet,"['approved', 'vet_approved']",False,148-79-8,N1C2=CC=CC=C2N=C1C1=CSC=N1,0.138,g/l
242,DB00731,Nateglinide,60.0,mg/1,180.0,mg,Oral,"Tablet, film coated","['approved', 'investigational']",False,105816-04-4,[H][C@](CC1=CC=CC=C1)(N=C(O)[C@@]1([H])CC[C@@]([H])(CC1)C(C)C)C(O)=O,0.00688,g/l
243,DB00734,Risperidone,0.25,mg/1,50.0,mg,Oral,"Tablet, film coated","['approved', 'investigational']",False,106266-06-2,CC1=C(CCN2CCC(CC2)C2=NOC3=C2C=CC(F)=C3)C(=O)N2CCCCC2=N1,0.171,g/l
244,DB00736,Esomeprazole,2.5,mg/1,49.3,mg/1,Oral,"Granule, delayed release","['approved', 'investigational']",False,119141-88-7,COC1=CC2=C(NC(=N2)[S@@](=O)CC2=NC=C(C)C(OC)=C2C)C=C1,0.353,g/l
245,DB00737,Meclizine,12.5,mg/1,50.0,mg/1,Oral,Tablet,['approved'],False,569-65-3,CC1=CC(CN2CCN(CC2)C(C2=CC=CC=C2)C2=CC=C(Cl)C=C2)=CC=C1,0.00103,g/l
246,DB00740,Riluzole,50.0,mg,50.0,mg,Oral,Tablet,"['approved', 'investigational']",False,1744-22-5,NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2,0.0395,g/l
247,DB00744,Zileuton,600.0,mg/1,600.0,mg/1,Oral,"Tablet, extended release","['approved', 'investigational', 'withdrawn']",False,111406-87-2,CC(N(O)C(N)=O)C1=CC2=CC=CC=C2S1,0.0539,g/l
248,DB00745,Modafinil,100.0,mg,200.0,mg/1,Oral,Tablet,"['approved', 'investigational']",False,68693-11-8,NC(=O)CS(=O)C(C1=CC=CC=C1)C1=CC=CC=C1,0.622,g/l
249,DB00749,Etodolac,200.0,mg/1,600.0,mg/1,Oral,Capsule,"['approved', 'investigational', 'vet_approved']",False,41340-25-4,CCC1=C2NC3=C(CCOC3(CC)CC(O)=O)C2=CC=C1,0.0392,g/l
250,DB00752,Tranylcypromine,10.0,mg,10.0,mg,Oral,Tablet,"['approved', 'investigational']",False,155-09-9,NC1CC1C1=CC=CC=C1,1.49,g/l
251,DB00754,Ethotoin,250.0,mg/1,250.0,mg/1,Oral,Tablet,['approved'],False,86-35-1,CCN1C(=O)NC(C1=O)C1=CC=CC=C1,2.38,g/l
252,DB00758,Clopidogrel,75.0,mg,300.0,mg/1,Oral,Tablet,['approved'],False,113665-84-2,[H][C@@](N1CCC2=C(C1)C=CS2)(C(=O)OC)C1=CC=CC=C1Cl,0.0118,g/l
253,DB00763,Methimazole,5.0,mg,20.0,mg,Oral,Tablet,['approved'],False,60-56-0,CN1C=CNC1=S,11.3,g/l
254,DB00765,Metyrosine,250.0,mg/1,250.0,mg/1,Oral,Capsule,['approved'],False,672-87-7,C[C@](N)(CC1=CC=C(O)C=C1)C(O)=O,2.48,g/l
255,DB00776,Oxcarbazepine,60.0,mg,600.0,mg/1,Oral,Suspension,['approved'],False,28721-07-5,NC(=O)N1C2=CC=CC=C2CC(=O)C2=CC=CC=C12,0.16,g/l
256,DB00779,Nalidixic Acid,500.0,mg,500.0,mg,Oral,Tablet,"['approved', 'investigational']",False,389-08-2,CCN1C=C(C(O)=O)C(=O)C2=C1N=C(C)C=C2,2.3,g/l
257,DB00780,Phenelzine,15.0,mg/1,15.0,mg/1,Oral,"Tablet, film coated",['approved'],False,51-71-8,NNCCC1=CC=CC=C1,11.1,g/l
258,DB00782,Propantheline,7.5,mg,15.0,mg,Oral,Tablet,['approved'],False,298-50-0,CC(C)[N+](C)(CCOC(=O)C1C2=CC=CC=C2OC2=CC=CC=C12)C(C)C,7.22e-05,g/l
259,DB00784,Mefenamic acid,250.0,mg,250.0,mg,Oral,Capsule,['approved'],False,61-68-7,CC1=C(C)C(NC2=CC=CC=C2C(O)=O)=CC=C1,0.0137,g/l
261,DB00790,Perindopril,2.0,mg/1,10.0,mg,Oral,Tablet,['approved'],False,82834-16-0,[H][C@]12C[C@H](N(C(=O)[C@H](C)N[C@@H](CCC)C(=O)OCC)[C@@]1([H])CCCC2)C(O)=O,1.22,g/l
262,DB00794,Primidone,50.0,mg/1,250.0,mg,Oral,Tablet,"['approved', 'vet_approved']",False,125-33-7,CCC1(C(=O)NCNC1=O)C1=CC=CC=C1,1.04,g/l
263,DB00796,Candesartan cilexetil,4.0,mg,32.0,mg/1,Oral,Tablet,['approved'],False,145040-37-5,CCOC1=NC2=C(N1CC1=CC=C(C=C1)C1=CC=CC=C1C1=NN=NN1)C(=CC=C2)C(=O)OC(C)OC(=O)OC1CCCCC1,0.00204,g/l
264,DB00804,Dicyclomine,10.0,mg/1,30.0,mg,Oral,Capsule,['approved'],False,77-19-0,CCN(CC)CCOC(=O)C1(CCCCC1)C1CCCCC1,0.00327,g/l
265,DB00806,Pentoxifylline,400.0,mg,400.0,mg,Oral,"Tablet, extended release","['approved', 'investigational']",False,6493-05-6,CN1C=NC2=C1C(=O)N(CCCCC(C)=O)C(=O)N2C,5.17,g/l
267,DB00810,Biperiden,2.0,mg,2.0,mg,Oral,Tablet,"['approved', 'investigational']",False,514-65-8,OC(CCN1CCCCC1)(C1CC2CC1C=C2)C1=CC=CC=C1,0.00426,g/l
268,DB00812,Phenylbutazone,100.0,mg,100.0,mg,Oral,Tablet,"['approved', 'vet_approved']",False,50-33-9,CCCCC1C(=O)N(N(C1=O)C1=CC=CC=C1)C1=CC=CC=C1,0.144,g/l
269,DB00814,Meloxicam,5.0,mg/1,15.0,mg/1,Oral,Capsule,"['approved', 'vet_approved']",False,71125-38-7,CN1C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C(C=CC=C2)S1(=O)=O,0.154,g/l
270,DB00819,Acetazolamide,125.0,mg/1,500.0,mg/1,Oral,Tablet,"['approved', 'vet_approved']",False,59-66-5,CC(=O)NC1=NN=C(S1)S(N)(=O)=O,2.79,g/l
